	method	hs	complet_score	v_score	adj_rand_index	adj_mutual_info	fm_score	calinski_harabaz_score	cosine_silhouette_score	euclidean_silhouette_score	tpr	fpr	fdr	acc	tn	fp	fn	tp	cells_count	genes_count	fc	replication	cells	genes	len_mod_and_var_genes	modification_method	clustering_method	randomize_cells_labels	matching_genes	other_params	pca_components	knn_neighbours	knn_radius	knn_algorithm	knn_leaf_size	knn_distance_metric	knn_p	kmeans_clusters	scale_kmeans	tsne_components	tsne_perplexity	corr_method	hvg_cut_off	input_data_dim	input_fname	bin_start	bin_end	protocol	meanTopExpressedGenes	nTopGenes	post_mod_genes	genes_in_all_cells	spike_ins_pattern	normalization_method	nTopVarRemovedGenes
0	pca_tsne	0.007299156760473468	0.007352281005170892	0.007325622571954271	-0.044419766796224384	-0.03323248757567272	0.4530455884900605	11.878872152939065	0.5083581805229187	0.2828071713447571	0.5	0.4	0.44	0.55	6	4	5	5	10	5	3.0	rep1	"['SmartSeq2A_A4' 'SmartSeq2A_D10' 'SmartSeq2A_G8' 'SmartSeq2A_F7'
 'SmartSeq2A_A1' 'SmartSeq2A_E2' 'SmartSeq2A_H4' 'SmartSeq2A_D9'
 'SmartSeq2A_A5' 'SmartSeq2A_E8']"	['ENSMUSG00000050668', 'ENSMUSG00000032905', 'ENSMUSG00000033904', 'ENSMUSG00000025223', 'ENSMUSG00000034247', 'ENSMUSG00000019039']	1	multiplicative_modification_space	knn	False	['ENSMUSG00000056962', 'ENSMUSG00000025465', 'ENSMUSG00000032580', 'ENSMUSG00000055850', 'ENSMUSG00000063236', 'ENSMUSG00000031007']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
1	pca_tsne	0.2958073480446822	0.3046574663367103	0.3001671872211768	0.3259423503325942	0.27109714316505207	0.6523280730534422	0.928676387149161	0.04743530601263046	0.06261396408081055	0.9	0.3	0.25	0.8	7	3	1	9	10	5	3.0	rep2	"['SmartSeq2A_B8' 'SmartSeq2A_E8' 'SmartSeq2A_C7' 'SmartSeq2A_D11'
 'SmartSeq2A_H8' 'SmartSeq2A_B3' 'SmartSeq2A_E9' 'SmartSeq2A_B1'
 'SmartSeq2A_E7' 'SmartSeq2A_C10']"	['ENSMUSG00000059939', 'ENSMUSG00000087260', 'ENSMUSG00000015120', 'ENSMUSG00000039943', 'ENSMUSG00000025223', 'ENSMUSG00000059273']	4	multiplicative_modification_space	knn	False	['ENSMUSG00000043284', 'ENSMUSG00000019923', 'ENSMUSG00000030216', 'ENSMUSG00000042369', 'ENSMUSG00000026127', 'ENSMUSG00000024644']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
0	pca_tsne	0.39731260974948635	0.40020430436495247	0.3987532145992846	0.4619655746807329	0.3741878244747103	0.7182430061427789	13.663187990045497	0.5808421969413757	0.31877559423446655	0.9	0.2	0.18	0.85	8	2	1	9	10	5	5.0	rep1	"['SmartSeq2A_F7' 'SmartSeq2A_C8' 'SmartSeq2A_E11' 'SmartSeq2A_G9'
 'SmartSeq2A_A8' 'SmartSeq2A_C3' 'SmartSeq2A_C6' 'SmartSeq2A_E4'
 'SmartSeq2A_B12' 'SmartSeq2A_A3']"	['ENSMUSG00000024968', 'ENSMUSG00000090000', 'ENSMUSG00000013736', 'ENSMUSG00000046079', 'ENSMUSG00000051510', 'ENSMUSG00000057895']	6	multiplicative_modification_space	knn	False	['ENSMUSG00000013629', 'ENSMUSG00000051396', 'ENSMUSG00000028757', 'ENSMUSG00000030826', 'ENSMUSG00000025747', 'ENSMUSG00000024772']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
1	pca_tsne	0.39731260974948635	0.40020430436495247	0.3987532145992846	0.4619655746807329	0.3741878244747103	0.7182430061427789	7.274005882047227	0.42280083894729614	0.2097049057483673	0.8	0.1	0.11	0.85	9	1	2	8	10	5	5.0	rep2	"['SmartSeq2A_E11' 'SmartSeq2A_C1' 'SmartSeq2A_E9' 'SmartSeq2A_H5'
 'SmartSeq2A_B7' 'SmartSeq2A_F10' 'SmartSeq2A_H2' 'SmartSeq2A_A6'
 'SmartSeq2A_B4' 'SmartSeq2A_G7']"	['ENSMUSG00000031723', 'ENSMUSG00000032047', 'ENSMUSG00000028901', 'ENSMUSG00000021671', 'ENSMUSG00000038079', 'ENSMUSG00000028800']	6	multiplicative_modification_space	knn	False	['ENSMUSG00000024400', 'ENSMUSG00000026087', 'ENSMUSG00000030117', 'ENSMUSG00000020869', 'ENSMUSG00000028843', 'ENSMUSG00000062580']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
0	pca_tsne	0.11870910076930663	0.11870910076930663	0.11870910076930663	0.1133333333333334	0.08289283979709973	0.5333333333333332	2.3407060488869202	0.13201013207435608	0.09291129559278488	0.7	0.3	0.3	0.7	7	3	3	7	10	10	3.0	rep1	"['SmartSeq2A_F7' 'SmartSeq2A_G6' 'SmartSeq2A_C7' 'SmartSeq2A_B9'
 'SmartSeq2A_H12' 'SmartSeq2A_A1' 'SmartSeq2A_C1' 'SmartSeq2A_F1'
 'SmartSeq2A_C8' 'SmartSeq2A_E6']"	['ENSMUSG00000031827', 'ENSMUSG00000032194', 'ENSMUSG00000022257', 'ENSMUSG00000025220', 'ENSMUSG00000026743', 'ENSMUSG00000036617', 'ENSMUSG00000002983', 'ENSMUSG00000049482', 'ENSMUSG00000062352', 'ENSMUSG00000035521', 'ENSMUSG00000049421']	6	multiplicative_modification_space	knn	False	['ENSMUSG00000020608', 'ENSMUSG00000026869', 'ENSMUSG00000024181', 'ENSMUSG00000051256', 'ENSMUSG00000009090', 'ENSMUSG00000032580', 'ENSMUSG00000020156', 'ENSMUSG00000028455', 'ENSMUSG00000001918', 'ENSMUSG00000040658', 'ENSMUSG00000034518']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
1	pca_tsne	0.19116495692878027	0.19255628119851664	0.191858096681472	0.20877290394225426	0.15883950662314078	0.5856442973164198	2.7144991217533954	0.1743975579738617	0.10946270078420639	0.8	0.3	0.27	0.75	7	3	2	8	10	10	3.0	rep2	"['SmartSeq2A_G5' 'SmartSeq2A_H4' 'SmartSeq2A_E8' 'SmartSeq2A_A11'
 'SmartSeq2A_D3' 'SmartSeq2A_F7' 'SmartSeq2A_G9' 'SmartSeq2A_G3'
 'SmartSeq2A_G2' 'SmartSeq2A_C2']"	['ENSMUSG00000033712', 'ENSMUSG00000022257', 'ENSMUSG00000020993', 'ENSMUSG00000031913', 'ENSMUSG00000020691', 'ENSMUSG00000044150', 'ENSMUSG00000030322', 'ENSMUSG00000019578', 'ENSMUSG00000023034', 'ENSMUSG00000046449', 'ENSMUSG00000028292']	8	multiplicative_modification_space	knn	False	['ENSMUSG00000038028', 'ENSMUSG00000029064', 'ENSMUSG00000022185', 'ENSMUSG00000024944', 'ENSMUSG00000028945', 'ENSMUSG00000049760', 'ENSMUSG00000003062', 'ENSMUSG00000029145', 'ENSMUSG00000030868', 'ENSMUSG00000034187', 'ENSMUSG00000024312']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
0	pca_tsne	0.2958073480446822	0.3046574663367103	0.3001671872211768	0.3259423503325942	0.27109714316505207	0.6523280730534422	0.835401647297308	-0.0024867423344403505	0.10515917837619781	0.7	0.1	0.12	0.8	9	1	3	7	10	10	5.0	rep1	"['SmartSeq2A_G10' 'SmartSeq2A_H9' 'SmartSeq2A_D8' 'SmartSeq2A_F7'
 'SmartSeq2A_E4' 'SmartSeq2A_H2' 'SmartSeq2A_C6' 'SmartSeq2A_H5'
 'SmartSeq2A_G7' 'SmartSeq2A_H4']"	['ENSMUSG00000050323', 'ENSMUSG00000053398', 'ENSMUSG00000038936', 'ENSMUSG00000090000', 'ENSMUSG00000039244', 'ENSMUSG00000037020', 'ENSMUSG00000032936', 'ENSMUSG00000024217', 'ENSMUSG00000002059', 'ENSMUSG00000025156', 'ENSMUSG00000056763']	11	multiplicative_modification_space	knn	False	['ENSMUSG00000039183', 'ENSMUSG00000003435', 'ENSMUSG00000026558', 'ENSMUSG00000062981', 'ENSMUSG00000052752', 'ENSMUSG00000079426', 'ENSMUSG00000093904', 'ENSMUSG00000037236', 'ENSMUSG00000027810', 'ENSMUSG00000023106', 'ENSMUSG00000075706']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
1	pca_tsne	0.2958073480446822	0.3046574663367103	0.3001671872211768	0.3259423503325942	0.27109714316505207	0.6523280730534422	9.590029118862983	0.24754929542541504	0.25025245547294617	0.7	0.1	0.12	0.8	9	1	3	7	10	10	5.0	rep2	"['SmartSeq2A_C6' 'SmartSeq2A_B12' 'SmartSeq2A_A3' 'SmartSeq2A_C7'
 'SmartSeq2A_G9' 'SmartSeq2A_D11' 'SmartSeq2A_E10' 'SmartSeq2A_D5'
 'SmartSeq2A_G3' 'SmartSeq2A_C8']"	['ENSMUSG00000040325', 'ENSMUSG00000064254', 'ENSMUSG00000038365', 'ENSMUSG00000030513', 'ENSMUSG00000008855', 'ENSMUSG00000032936', 'ENSMUSG00000040548', 'ENSMUSG00000034889', 'ENSMUSG00000019889', 'ENSMUSG00000046865', 'ENSMUSG00000026455']	11	multiplicative_modification_space	knn	False	['ENSMUSG00000025066', 'ENSMUSG00000020307', 'ENSMUSG00000022889', 'ENSMUSG00000063696', 'ENSMUSG00000019433', 'ENSMUSG00000014859', 'ENSMUSG00000014867', 'ENSMUSG00000022283', 'ENSMUSG00000001305', 'ENSMUSG00000071662', 'ENSMUSG00000026520']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
0	pca_tsne	0.1245112497836532	0.12823644219877584	0.12634639359704855	0.11529933481152992	0.09005608487733917	0.5436067275445352	3.3807257332236547	0.14843502640724182	0.11370404064655304	0.8	0.4	0.33	0.7	6	4	2	8	10	20	3.0	rep1	"['SmartSeq2A_A4' 'SmartSeq2A_G4' 'SmartSeq2A_C7' 'SmartSeq2A_C10'
 'SmartSeq2A_D10' 'SmartSeq2A_E11' 'SmartSeq2A_H2' 'SmartSeq2A_F2'
 'SmartSeq2A_D6' 'SmartSeq2A_E5']"	['ENSMUSG00000014349', 'ENSMUSG00000044475', 'ENSMUSG00000027540', 'ENSMUSG00000028857', 'ENSMUSG00000038412', 'ENSMUSG00000027709', 'ENSMUSG00000030846', 'ENSMUSG00000029560', 'ENSMUSG00000005882', 'ENSMUSG00000026274', 'ENSMUSG00000030766', 'ENSMUSG00000020482', 'ENSMUSG00000039105', 'ENSMUSG00000028899', 'ENSMUSG00000026279', 'ENSMUSG00000039844', 'ENSMUSG00000024446', 'ENSMUSG00000031562', 'ENSMUSG00000000325', 'ENSMUSG00000025223', 'ENSMUSG00000026383']	10	multiplicative_modification_space	knn	False	['ENSMUSG00000038845', 'ENSMUSG00000017764', 'ENSMUSG00000029191', 'ENSMUSG00000006673', 'ENSMUSG00000029642', 'ENSMUSG00000015889', 'ENSMUSG00000029068', 'ENSMUSG00000052146', 'ENSMUSG00000023089', 'ENSMUSG00000042305', 'ENSMUSG00000030880', 'ENSMUSG00000003037', 'ENSMUSG00000027998', 'ENSMUSG00000019433', 'ENSMUSG00000028821', 'ENSMUSG00000029614', 'ENSMUSG00000005609', 'ENSMUSG00000039183', 'ENSMUSG00000024026', 'ENSMUSG00000031697', 'ENSMUSG00000018239']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
1	pca_tsne	0.39731260974948635	0.40020430436495247	0.3987532145992846	0.4619655746807329	0.3741878244747103	0.7182430061427789	1.1818659650012937	0.05001433938741684	0.06431221961975098	0.8	0.1	0.11	0.85	9	1	2	8	10	20	3.0	rep2	"['SmartSeq2A_F5' 'SmartSeq2A_B8' 'SmartSeq2A_B9' 'SmartSeq2A_E7'
 'SmartSeq2A_D4' 'SmartSeq2A_B3' 'SmartSeq2A_G7' 'SmartSeq2A_B4'
 'SmartSeq2A_D1' 'SmartSeq2A_A3']"	['ENSMUSG00000074794', 'ENSMUSG00000000276', 'ENSMUSG00000029723', 'ENSMUSG00000053110', 'ENSMUSG00000050213', 'ENSMUSG00000015013', 'ENSMUSG00000041935', 'ENSMUSG00000022490', 'ENSMUSG00000002043', 'ENSMUSG00000060180', 'ENSMUSG00000020253', 'ENSMUSG00000062661', 'ENSMUSG00000078765', 'ENSMUSG00000040213', 'ENSMUSG00000069045', 'ENSMUSG00000051675', 'ENSMUSG00000023980', 'ENSMUSG00000029594', 'ENSMUSG00000035666', 'ENSMUSG00000020484', 'ENSMUSG00000064372']	11	multiplicative_modification_space	knn	False	['ENSMUSG00000020780', 'ENSMUSG00000022427', 'ENSMUSG00000042032', 'ENSMUSG00000074578', 'ENSMUSG00000041220', 'ENSMUSG00000044783', 'ENSMUSG00000005054', 'ENSMUSG00000031864', 'ENSMUSG00000020453', 'ENSMUSG00000000826', 'ENSMUSG00000050966', 'ENSMUSG00000027706', 'ENSMUSG00000022771', 'ENSMUSG00000031939', 'ENSMUSG00000022913', 'ENSMUSG00000040675', 'ENSMUSG00000033940', 'ENSMUSG00000037275', 'ENSMUSG00000032267', 'ENSMUSG00000025142', 'ENSMUSG00000031819']	1:1:genes_in_all_cells:False	5	3	1.0	auto	30	euclidean	2	2	True	2	5	pearson	500	10000:20	test_data/mESC/SmartSeq2A/SmartSeq2A_scran_norm_counts.tab	5000	7500	Smartseq2	10000	500	sig_only	False		scran	500
